TimeStamp,Value
20211005121527,1209.72745419
20211005121528,1209.88283157
20211005121529,32.208096981
20211005121530,25.5186915398
20211005121531,19.5652842522
20211005121532,25.8130908012
20211005121533,16.4618253708
20211005121534,16.0365819931
20211005121535,11.698281765
20211005121536,10.7905507088
20211005121537,11.8332147598
20211005121538,19.0214633942
20211005121539,24.439227581
20211005121540,25.4328250885
20211005121541,25.8948683739
20211005121542,25.105714798
20211005121543,24.4228720665
20211005121544,22.2434997559
20211005121545,22.7218985558
20211005121546,21.765100956
